UF-Ano;Nascimentos;Porc_prematuros;Porc_cesareas;Porc_grav_multipla;Porc_anomalias;Porc_nenhuma_consulta;Porc_consulta7mais;Porc_feminino;Porc_raca_mae_branca;Porc_raca_mae_negra;Porc_peso_menor_2500;Porc_apgar1_menor_7;Porc_apgar5_menor_7;GINI;T_DES;T_ANALF15M;PAREDE;T_AGUA;T_BANAGUA;AGUA_ESGOTO;T_LIXO;Cluster;Ano;UF;Estado;Longitude;Latitude
RJ-2000;259118;7.20802919708029;49.2405861707356;1.8636660471191;;3.87627066676101;57.62085583779489;48.911027831444;;;8.5447556711614;8.63353337731083;2.23188103061807;0.6;17.2;6.64;;92.01;92.13;2.62;94.31;3;2000;RJ;Rio de Janeiro;-22.7641;-42.1726
RJ-2010;215262;7.97955132208066;60.6790066040368;2.07242086085174;0.827964603522811;2.29572387308101;64.7824286292486;48.7628535450925;36.6666666666667;63.3333333333333;9.14048926424543;7.669739357574151;1.36177853379639;0.59;8.93;4.27;0.43;95.84;94.73;1.67;97.59;0;2010;RJ;Rio de Janeiro;-22.7641;-42.1726
RN-2000;56444;5.08230269596939;27.6012560540742;1.5835579514824798;;6.41431397230714;33.0857759395792;48.88241873346711;;;6.85812486712494;8.73670307703291;2.03185259248679;0.64;16.6;25.43;;67.35;61.05;20.31;92.11;1;2000;RN;Rio Grande do Norte;-5.6070379999999975;-36.8261
RN-2010;47668;6.50820122015579;51.1537006682638;1.65577525162321;0.6049829780774979;1.44819982189051;48.0874432806073;48.57208804582751;36.5661505025808;63.216517250747096;7.84383653604095;7.338986260441429;1.26851228542578;0.6;10.28;18.54;2.29;89.15;85.06;9.4;97.51;5;2010;RN;Rio Grande do Norte;-5.6070379999999975;-36.8261
RO-2000;31307;4.22539764645028;43.5836669335468;1.37986233392028;;5.00477429126469;32.9722432583715;48.5487281348113;;;4.02785319577091;9.005434601406991;2.12801440912578;0.6;10.38;12.97;;63.58;54.94;24.46;81.25;1;2000;RO;Rondônia;-11.474053;-62.226545
RO-2010;25835;6.634607866134959;64.0708582060625;1.70910359260551;0.540265434757076;2.3702653752264;50.0905583116781;48.4863734902447;14.4781144781145;83.6700336700337;7.21888910392878;5.359600487593879;1.03437426256588;0.56;5.82;8.73;3.9;95.13;79.62;12.43;94.64;5;2010;RO;Rondônia;-11.474053;-62.226545
RR-2000;9744;3.77299979326029;22.3214285714286;1.61124794745484;;14.3778207607995;30.8725553406404;49.2405582922824;;;5.9215927750410495;5.867709815078241;0.8184082552484879;0.61;15.24;13.49;;63.89;58.54;20.95;86.1;1;2000;RR;Roraima;2.148823;-61.412437
RR-2010;9738;8.59761120263591;35.8426620108863;1.78699804868029;0.689229503137537;4.70891293147862;40.2988150437919;48.75744506058739;25.0;12.5;7.47586773464777;5.88694391793957;0.9474974919184042;0.63;8.22;10.33;13.21;93.35;74.04;12.44;96.68;5;2010;RR;Roraima;2.148823;-61.412437
RS-2000;176719;7.780339860965969;40.9938415559128;1.8712278198638896;;3.54120676968359;51.4044104120677;48.8608196665648;;;8.74552255275324;7.12771564092054;1.50045627910242;0.58;12.26;6.65;;92.4;90.18;2.97;97.29;3;2000;RS;Rio Grande do Sul;-30.055067;-52.387882
RS-2010;133243;9.52406011080957;58.0944154429714;2.1303455893956103;0.914557849954879;1.77216144851;73.18294983025271;48.62795724750811;78.8018433179724;18.4331797235023;9.43088942758719;6.65004916645704;1.04449184824013;0.54;5.12;4.52;2.22;96.17;96.46;0.89;99.24;0;2010;RS;Rio Grande do Sul;-30.055067;-52.387882
SC-2000;94828;6.17318049993095;41.6042295434879;1.83889855989872;;1.87224551508198;44.41704108002621;48.5589501223732;;;7.22993208756907;6.994954634559151;1.7161624075644195;0.56;10.33;6.32;;94.39;91.82;2.16;96.78;3;2000;SC;Santa Catarina;-27.257104;-49.879454
SC-2010;84611;7.399387033026849;57.670061388879006;2.03874080556278;0.939813935826846;0.786008572480201;70.0046305640977;48.77250215713389;93.5574229691877;6.442577030812321;7.92331966292799;5.507616917012889;0.97418354422888;0.49;4.0;4.13;1.63;94.13;97.0;0.78;99.31;0;2010;SC;Santa Catarina;-27.257104;-49.879454
SE-2000;40716;5.77672112904042;19.1001994017946;1.85558793494234;;5.885351001904559;49.7169988465356;48.58499852347671;;;6.668140288829941;8.54866375255907;3.2808658546924;0.65;16.81;25.16;;71.37;66.61;14.98;89.57;1;2000;SE;Sergipe;-8.263146;-35.51082299999999
SE-2010;34016;6.484973482616381;35.67332294209329;1.8033124466802;0.8930676727186979;1.39225539462016;47.05882352941179;48.6929930312564;8.67579908675799;91.324200913242;7.60230479774224;6.73671387239226;1.39244363193175;0.62;10.6;18.4;3.36;89.13;82.24;11.02;97.14;5;2010;SE;Sergipe;-8.263146;-35.51082299999999
SP-2000;687779;7.30218519932541;48.776468016859205;1.87541108204101;;1.94110426251714;61.0250424102709;48.8377942955518;;;8.52003332465807;7.87724928647549;1.29936098510193;0.58;17.56;6.64;;97.3;96.62;0.87;98.77;3;2000;SP;São Paulo;-22.763116;-47.9046
SP-2010;601352;8.68356437754657;58.9182137948706;2.2547648001171097;1.02972234485556;1.09053477311997;78.23275213812329;48.7280637564694;60.0;40.0;9.19976985193364;6.67672689980309;1.04224329825183;0.56;7.93;4.32;0.79;98.57;97.12;0.6;99.62;0;2010;SP;São Paulo;-22.763116;-47.9046
TO-2000;26205;6.89655172413793;29.5389934690741;1.4865176307905;;3.79251568916092;27.268149066398102;49.16418594000461;;;6.21255485594352;10.8247826427508;2.47233341182011;0.65;14.48;18.78;;55.73;49.82;19.29;73.68;1;2000;TO;Tocantins;-9.596869;-48.201864
TO-2010;24471;5.9661766512427805;44.00458040242111;1.55438295087332;0.523774449627629;1.16971065052329;49.12784732197821;48.9824274621986;15.3846153846154;7.692307692307691;6.787626169751951;5.566423617286151;1.09831473164658;0.6;7.71;13.09;8.06;94.33;80.41;8.07;94.35;5;2010;TO;Tocantins;-9.596869;-48.201864
