UF-Ano;Nascimentos;Porc_prematuros;Porc_cesareas;Porc_grav_multipla;Porc_anomalias;Porc_nenhuma_consulta;Porc_consulta7mais;Porc_feminino;Porc_raca_mae_branca;Porc_raca_mae_negra;Porc_peso_menor_2500;Porc_apgar1_menor_7;Porc_apgar5_menor_7;GINI;T_DES;T_ANALF15M;PAREDE;T_AGUA;T_BANAGUA;AGUA_ESGOTO;T_LIXO;Cluster;Ano;UF;Estado;UF;Longitude;Latitude
MS-2010;-0.5656220452263484;-0.002642798868101126;1.1213227009715774;0.3787835907082749;-0.12829860319588623;-0.6680406495442737;1.1431218591086594;1.4087908564353457;0.06959426992086062;0.1924679464068105;0.25968964700562347;-0.9690463061360379;-0.5664349365536885;-1.2388918872761876;-1.2545826541417326;-0.8670112325469654;-0.44042785530681644;0.9117798587335335;1.0238819853050642;-0.8233173902623651;0.8319868721633626;5;2010;MS;Mato Grosso do Sul;MS;-20.616023000000002;-55.095124
MT-2000;-0.4924552316658714;-0.4639425093234573;0.27822980653840224;-0.5900339837004208;-0.6777590332799293;-0.43520471064127236;0.33651013387529266;-1.1108552536779142;-2.532542798809283;2.118345702176514;-1.0449763407677046;0.6794455128621453;0.48097256677161876;0.2815663380173179;0.21893572453557236;-0.27939812840747574;0.13080747551348038;-0.37110802557968586;-0.11849255256332542;0.35290788585319305;-0.32811243675587803;2;2000;MT;Mato Grosso;MT;-13.434091;-55.501918999999994
MT-2010;-0.4967531752400959;0.6540717906137998;1.1464949532705992;0.003065365052663639;-0.06667246506011676;-0.8165670884245229;1.160631326782761;0.22995386172560614;0.08506063699273168;0.10778321922973455;-0.2295146560314153;-1.0169839345788199;-0.5094512527811809;-1.4923015914917723;-1.2226564226037244;-0.7655258137083755;-0.2530251718883;0.850910799604348;0.8543263949647033;-0.7016389134228246;0.6710664784510835;5;2010;MT;Mato Grosso;MT;-13.434091;-55.501918999999994
PA-2000;0.10927252607919376;0.5345848634491924;-1.1314014095868408;-1.036542225174411;-1.3785297075662426;0.620630951752948;-1.1506786200255685;-0.6244376383992654;-4.726191245343981;2.9683828950602935;-1.2214740967955924;2.2234588019256845;0.44695816156850343;1.041795450664072;0.5774918633470503;0.2731335963804027;3.564575125560964;-2.0192102646680206;-1.8185499318166771;2.7053584380843096;-1.779551282003885;1;2000;PA;Pará;PA;-4.239015;-52.218322
PA-2010;0.22159055241689574;-0.9477531938715167;0.07468429323066769;-1.346788473616805;-0.7408429161526533;-0.32399555199215957;-0.6623041271306159;-0.5192489929528079;-0.9022799694938308;0.9762158284187524;-0.03528317631770118;0.22096310140508607;-0.2182188884671277;0.2815663380173179;-0.5030882810163071;-0.35707832554318647;1.1515484755514898;0.2439593242876101;-0.7897126181584999;1.6616934538102015;0.12519926056433317;2;2010;PA;Pará;PA;-4.239015;-52.218322
PB-2000;-0.4302250796230476;1.4712779477163958;-0.6175892656029072;1.2474049813342438;0.20337863553460017;0.6122218310827285;-0.5282118069160653;-0.42306108833635675;-4.902140219638708;3.540303343717815;-1.1333011548621201;0.18440889010174383;1.1107111423762215;0.5349760422329026;0.6904616057123101;1.894394484987012;2.446913566821064;-0.8795095956396475;-0.6506670307997379;0.22529387355806513;-0.30707709117257326;1;2000;PB;Paraíba;PB;-6.9501649999999975;-35.58808900000001
PB-2010;-0.42026700270790457;2.2718132414016794;0.8205639814876373;0.33725996269229813;0.7509191295230733;-0.6754640868920592;0.736278028191973;0.6150344870284176;-0.22691540349820347;0.42392203466253003;-0.38981706346922557;-0.7506192950705418;-0.44501184882478717;0.028156633801733198;-0.6455283909551133;0.9171274887635535;-0.3703884685746436;0.08512006522668676;0.28113847009728865;-0.049719269217481606;0.6069086744220049;5;2010;PB;Paraíba;PB;-6.9501649999999975;-35.58808900000001
PE-2000;0.3994424324154957;-0.9695388441853348;-0.9138110033561178;-0.09792029691925726;-0.4191117980446317;1.0033382116520608;-0.48164148187845673;-0.10424759978833453;-4.2666560250474195;2.97571451587028;-0.40654804868748734;0.7818448343824052;0.15921835784214228;1.2952051548796568;1.6899982392484156;1.2416302477659582;1.1325756741277093;-0.795452323508867;-0.5721412854208687;0.25793931856379554;-0.6352284822721233;1;2000;PE;Pernambuco;PE;-8.140122;-37.779227
PE-2010;0.189524292161844;-0.20231651611306192;0.6774031152670579;0.1210348524237558;0.7334081731835476;-0.67885869423595;0.3425983408591897;-0.7934359045674615;-0.3064922822896019;0.486779424897198;0.3009232110353812;-0.47734828874201046;-0.4463986438272109;0.2815663380173179;-0.02910653587510731;0.4272410842464096;-0.44042785530681644;0.1854090864585835;0.24662715524925072;-0.14073081286982084;0.4217976332889252;5;2010;PE;Pernambuco;PE;-8.140122;-37.779227
PI-2000;-0.42092461156079136;-1.0841809934881894;-0.9269756833225498;-0.36868268790427944;-0.6934583899583386;0.04971854217196809;-1.5190707320674701;-0.6778551427605929;-5.35848270241686;2.368123862480342;-1.1024308906295501;2.7460076725126434;3.8666737815105803;1.041795450664072;-0.2157521971742326;1.9946269974201873;5.01344487674145;-1.8771824600332536;-1.604979910945485;-0.48894889293094485;-2.548393163073663;4;2000;PI;Piauí;PI;-6.9953179999999975;-41.807852000000004
